experiment,version,participant,item.pair,correct.bin,pair.order,response.type,response.num,response.dur,response.start,true.dur,true.start,foil.dur,foil.start,true.type,true.structure,true.pos1,true.pos2,true.pos3,true.RFname,phase,foil.type,foil.structure,foil.pos1,foil.pos2,foil.pos3,foil.RFname,language_mother,language_father,age,sex,grade,notes,education,test.type,competitor.type
1,1,14,N,0,true-foil,foil,2,3.367999999999995,135.667,1.2019999999999982,131.819,1.443000000000012,134.224,ruleword,AXB,A1,X4,B1,A1_X4_B1.wav,generalization,partword,NCA,X4,B1,A1,X4_B1_A1.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,O,0,foil-true,foil,1,3.126999999999981,170.787,1.443000000000012,169.344,1.4429999999999836,166.698,ruleword,AXB,A2,X5,B2,A2_X5_B2.wav,generalization,partword,CAN,B2,A2,X5,B2_A2_X5.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,P,1,true-foil,true,1,7.456999999999994,191.714,1.443000000000012,187.625,1.443000000000012,190.271,ruleword,AXB,A3,X4,B3,A3_X4_B3.wav,generalization,partword,CAN,B3,A3,X4,B3_A3_X4.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,Q,0,foil-true,foil,1,6.012999999999991,84.191,1.4440000000000026,82.747,1.203000000000003,80.342,ruleword,AXB,A1,X5,B1,A1_X5_B1.wav,generalization,partword,XNA,X2,X5,A1,X2_X5_A1.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,14,R,0,foil-true,foil,1,3.8489999999999966,57.249,1.443000000000005,55.806,1.443000000000005,53.16,ruleword,AXB,A2,X6,B2,A2_X6_B2.wav,generalization,partword,NCA,X6,B2,A2,X6_B2_A2.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,GEN,part-word
1,1,19,A,1,foil-true,true,2,4.329999999999998,85.874,1.4429999999999978,84.431,1.4429999999999978,81.545,word,AXB,A1,X1,B1,A1_X1_B1.wav,segmentation,partword,CAX,B3,A1,X3,B3_A1_X3.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,B,0,foil-true,foil,1,3.608000000000004,164.773,1.4429999999999836,163.33,1.4439999999999884,160.443,word,AXB,A2,X1,B2,A2_X1_B2.wav,segmentation,partword,CAX,B1,A2,X2,B1_A2_X2.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,C,1,true-foil,true,1,4.570999999999998,212.882,1.4429999999999836,208.312,1.443000000000012,211.439,word,AXB,A3,X2,B3,A3_X2_B3.wav,segmentation,partword,XCA,X3,B3,A3,X3_B3_A3.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,D,0,foil-true,foil,1,7.215999999999994,97.902,1.4440000000000026,96.458,1.4429999999999978,93.572,word,AXB,A2,X3,B2,A2_X3_B2.wav,segmentation,partword,XCA,X2,B2,A1,X2_B2_A1.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,E,0,true-foil,foil,2,4.088999999999999,176.079,1.443000000000012,171.749,1.203000000000003,174.876,word,AXB,A1,X2,B1,A1_X2_B1.wav,segmentation,partword,XCA,X2,B1,A2,X2_B1_A2.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,F,1,foil-true,true,2,3.608000000000004,237.659,1.4439999999999884,236.215,1.203000000000003,233.569,word,AXB,A2,X2,B2,A2_X2_B2.wav,segmentation,partword,XCA,X1,B2,A3,X1_B2_A3.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,G,0,true-foil,foil,2,6.734999999999985,125.805,1.4429999999999978,121.235,1.6840000000000117,124.121,word,AXB,A3,X1,B3,A3_X1_B3.wav,segmentation,partword,CAX,B1,A3,X3,B1_A3_X3.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,H,0,foil-true,foil,1,4.088999999999999,200.615,1.203000000000003,199.412,1.4439999999999884,196.525,word,AXB,A1,X3,B1,A1_X3_B1.wav,segmentation,partword,CAX,B2,A1,X1,B2_A1_X1.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,I,0,foil-true,foil,1,3.609000000000009,152.024,1.443000000000012,150.581,1.443000000000012,147.695,word,AXB,A3,X3,B3,A3_X3_B3.wav,segmentation,partword,XCA,X1,B3,A2,X1_B3_A2.wav,YD,YD,35,M,10,NA,preparatory,SEG,part-word
1,1,19,J,0,foil-true,foil,1,10.342999999999996,31.271,1.2029999999999994,30.068,1.443999999999999,27.181,ruleword,AXB,A3,X5,B3,A3_X5_B3.wav,generalization,partword,NCA,X5,B3,A3,X5_B3_A3.wav,YD,YD,35,M,10,NA,preparatory,GEN,part-word
